Timestamp,User,Num Followers,Hashtags,Tweet Text
2018-09-20 01:12:47,WindellMcDonal2,1184,[],"@jackiecy @GWorkman52 @mickmanselle @IngrahamAngle Jackie, since I know Obama better than you. He knew McConnell wasnt gonna confirm a pick for him in an election year. Thats why he wasted the pick on a so called moderate 63 year old when he really wanted a younger activist like Ginsberg. He put Garland out there to gin up 1/2"
2018-09-20 01:12:47,Wine_Unknown,3927,[],Did he feel that way about Obama smoking pot as a teenager? 
2018-09-20 01:12:44,NumbersMean,163,[],"@AGentleThunder @afbranco Obama didn't say that and Trump doesn't have 3 yet, so..."
2018-09-20 01:12:43,djtjnum1,60,[],@realDonaldTrump Yay 9-11 yay were gonna kick 9-11 ass hurricane Florence yay were gonna kick your hurricane ass to. Im the greatest president in the history of presidents nobody even Obama could beat back multiple heavily watered hurricanes like me 
2018-09-20 01:12:43,mckenney1971,329,[],California Gov. Brown on Trump: 'Something's got to happen to this guy...he's going to undermine America'   Imagine if a Republican had said this about Obama
2018-09-20 01:12:35,BobSlaugherbob,5303,[],City Hall deal for Obama Center in Jackson Park: 99 years for $10  via @suntimes
2018-09-20 01:12:33,TerryLa00384494,159,[],@NBCNews You have to say one thing about Obama is he had an attorney general that covered his ass
2018-09-20 01:12:30,GraceZiem,31,[],@realDonaldTrump Please do not increase the deficit: it will take years to pay down what Obama did to our deficit.
2018-09-20 01:12:29,jamesmc40012646,2,[],Did you see Joyce Behar today? Obama was correct: you can put lipstick on a pig but...
2018-09-20 01:12:28,AnotherUpstart,3092,"['CNN', 'CNNsucks']","Trump inflames war on Justice Dept by declassifying Russia docs   According to progressive footsoldiers at #CNN, this isn't required to make public the depths of Democrat party &amp; Obama's corruption &amp; sedition But as always, it's only about Trump #CNNsucks"
2018-09-20 01:12:26,americanpro1,1515,[],@LisaSmith4680 @RuthieRedSox obama's team treason; the rwo degenerates ... @realDonaldTrump @nytimes @YahooNews @CNN @larryelder @jerome_corsi @WeAreOne_Q 
2018-09-20 01:12:22,ezhurb,1472,[],"@llaughlin @TheX2BusDC I wrote in Michelle Obama in the primary, but I may just have to steal your idea and write in the X2 for the general :)"
2018-09-20 01:12:21,metallicalloy,66,[],@ByronYork Obama rammed through an executive order allowing this release to happen unilaterally by the executive branch.
2018-09-20 01:12:20,Jassimalkanani,66,[],@CuomoPrimeTime Can I tell you how much this story matters... Even if @POTUS44 wants his Jamaican and Trinidadian Passports back. Hes not getting them. They are in a safe at Buckingham Palace. He will have to be Hawaiian. @ClarenceHouse 
2018-09-20 01:12:17,artAudis,1751,[],@harknesschris70 @slamkadennis @JacobAWohl @realDonaldTrump @SenateMajLdr @GOP A Red hat. They only have 2 answer Obama or Clinton! Highly educated 
2018-09-20 01:12:10,T3xasProud,249,[],"@JoeBiden @BarackObama The most inspiring words Obama ever spoke were, here are the keys Don."
2018-09-20 01:12:06,crusader_01,32,[],"@brianstelter @HillaryClinton @maddow Do you honestly believe what your saying a man who has done more than any other, including making sure you your husband Obama etc all go to jail, be careful what u say"
2018-09-20 01:12:06,deborahkoala,356,[],"@redsteeze Remember when Hilary and Obama said if anyone interfered with a smooth transition, they should be exiled?"
2018-09-20 01:12:06,larkwick,250,[],"Obamas personal emissary holding secret talks with Iran, Israeli paper claims "
2018-09-20 01:12:05,sauce_marinara7,311,[],@TheRightDefense @NaidaDarling @KaiserBRamesis @pbranch14 @1IronMan2018 @jakki2004 @clairecmc he said called president obama a muslim from kenya.  so he will be in jail if he 'opens the libel laws.'
2018-09-20 01:12:04,Yasu_Al_Masih,288,[],"@1upmovement @FullNelson79 @Negligentgamer1 @Zydel @bbavier @realDonaldTrump Trump cannot control voters as well as Obama coudn't control Islamist voting for him. Not many republicans support that flag. Some do but they are mislead like you are mislead represent the slavery party. Also, memes aren't factual nor serve as evidence of any kind."
2018-09-20 01:12:03,CindiTurchik,1721,[],@cailou3 @AnnCoulter You mean under the obama administration when they took kids from their parents who had committed a crime.???
2018-09-20 01:12:02,jeromegravesbm1,7239,[],It's funny how someone that never ever signed the front of any employees paycheck blames his predecessor and then takes credit for his successor's accomplishments. Obama is a damn loser and refuses to accept the fact he's a loser. 
2018-09-20 01:11:56,nanjmay6478,9443,[],"Great judge of character, Obama. "
2018-09-20 01:11:55,goodeatz007,674,[],They divide us by race. They divide us by class. They divide us by sex.  They divide us by economic status. They divide us by sexual preference. A big thank you to Obama and the nasty Democrats for the misery in this country
2018-09-20 01:11:55,ThomasH15744537,1440,[],@PxlJedi @Jiujitsusavesl1 @cccapone @GenMhayden @BrettKelman He's on the ground at the crisis center you  AHOLES  check some facts Obama was golfing summer of 2016 While Trump was at the HURRICANE   in Louisiana  Ground Zero Hillary was a no-show as well You knit wits
2018-09-20 01:11:54,dlnarch,908,[],@SenFeinstein The venom and hatred spewed by Dems in Washington since Trumps election has contributed to the current situation. Obama started the trend. Perhaps the DNC should encourage respect and honor among its constituents. 
2018-09-20 01:11:46,borndarling,2521,[],@realDonaldTrump you can tell the Democrats to go take a flying leap you go over and get the Declassified and text messages yourself if you have to it was okay for Obama or Clinton to declassify 
2018-09-20 01:11:44,GroverWindham,11934,"['SouthCarolina', 'Obama', 'Hillary']","hey @realDonaldTrump did the people of #SouthCarolina show you the Corridor Of Shame ?  #Obama and #Hillary promised to fix it, dont have to tell you how that turned out. your education  sec. will know all about it."
2018-09-20 01:11:43,Prissytxn,3152,[],"@fruitcake181 @jessepbowman @JackPosobiec Ha! Obama put them in cages long before Trump. And, Obama was known to be gay and frequent Chicago Bath-houses, as well as prostituting himself with men. But, of course that was swept under the rug by the MSM. Plus, he was destroying this country."
2018-09-20 01:11:42,RevTrinaCCA,3281,[],"@DavidMilley @Elisalain3 Well the DEMONrats are telling DOJ to defy the presidents order to declassify the FISA warrants. As far as extortion 17 goes, I dont think we will ever get justice. My friend lives in Canada says that Justin is their obama, is that true? I hope he isnt. Thank u for support."
2018-09-20 01:11:41,Karen10304,1098,[],@mdx3232 @Candace88813196 I don't get it.  I didn't like Obama or his policies...for 8 long years! But I didn't go nuclear and lose my mind
2018-09-20 01:11:40,Rxymond_212,284,[],@xob_ton @ldrloml obama came  he landed at march
